"Site","Location","USDA_Species_Code","Sample_Barcode","Rep","Machine","Date","Mean_Tleaf","Mean_CiCa_lt_100umols","Mean_Ci_lt_100umols"
"Barrow","inyourfacedirect","ARLA2","1922","1","Bernie","20160712",6.19871509075,0.99885441275,389.523617975
"Barrow","inyourfacejunction","ARLA2","1846","1","Bernie","20160711",14.8605587475,1.058160591,413.03165145
"Barrow","inyourfacejunction","ARLA2","1880","1","Bernie","20160711",15.034409522,1.0323310802,402.8498223
"Barrow","inyourfacejunction","ARLA2","1882","1","Bernie","20160711",14.883448028,1.019492527,398.00212038
"Barrow","lessinyourface","ARLA2","1930","1","Andy","20160712",4.8785654068,1.0081719188,393.45929536
"Barrow","lessinyourface","ARLA2","1954","1","Andy","20160713",24.967609406,0.998097128,389.71610458
"Barrow","lessinyourface","ARLA2","1955","1","Flash","20160713",24.883061218,0.9861138874,385.2050625
"Barrow","lessinyourface","ARLA2","1956","1","Andy","20160713",24.89999485,1.04239357875,406.6594689
"Barrow","lessinyourface","ARLA2","1960","1","Flash","20160713",25.0509581575,0.9632754675,375.975577275
"Barrow","lessinyourface","ARLA2","2125","1","Mariano","20160718",4.27861917,0.96754850575,377.46640345
"Barrow","oppositet","CAAQ","2163","1","Flash","20160719",4.7288931848,0.9927153538,387.2747458
"Barrow","oppositet","PEFR5","2160","1","Mariano","20160719",4.8435479405,1.0089012265,394.083581125
"Barrow","oppositet","PEFR5","2164","1","Mariano","20160719",5.1059789658,1.0121830826,395.24260342
"Barrow","oppositet","PEFR5","2166","1","Mariano","20160719",4.66938769825,1.010545327,394.349293175
"Barrow","oppositeT","CAAQ","2155","1","Andy","20160719",4.867378831,1.01466570125,395.760989275
"Barrow","oppositeT","CAAQ","2167","1","Andy","20160719",4.9916056395,1.020682454,398.091025075
"Barrow","oppositeT","PEFR5","2165","1","Andy","20160719",4.96403443825,1.0043840405,392.283614825
"Barrow","pastcribbinisland","CAAQ","2075","1","Andy","20160718",4.97633075725,1.01565267575,396.148466425
"Barrow","pastcribbinisland","CAAQ","2077","1","Andy","20160718",4.91572344325,1.00212162125,390.9766639
"Barrow","powerlinepatio/bryanspath","ERAN6","2032","1","Andy","20160717",5.1541944504,1.0173720868,396.843723
"Barrow","powerlinepatio/bryanspath","ERAN6","2052","1","Andy","20160717",4.95679243383333,1.0327068075,402.817972316667
