"Site","Location","USDA_Species_Code","Sample_Barcode","Rep","Machine","Date","Area","Tair","Tleaf","deltaT","RH_R","RH_S","VpdA","VpdL","PARi","PARo","Press","Ci_Ca","CO2R","CO2S","Photo","Cond","Ci"
"Barrow","Zeeps","PEFR5","1815","2","Bernie","20160708",6,23.32089996,21.45211411,-0.051420793,42.72976685,48.89809036,1.310905577,1.160329863,250.6045074,98.65863037,101.2775421,0.906471471,2018.015381,1999.971069,12.06804477,0.132420439,1812.916717
"Barrow","Zeeps","PEFR5","1815","2","Bernie","20160708",6,23.36256409,21.48077011,-0.141791926,42.67478943,48.77815247,1.316635943,1.164753314,198.9440002,92.13988495,101.2763519,0.922354812,2014.767578,1999.965454,9.392401412,0.130786251,1844.67776
"Barrow","Zeeps","PEFR5","1815","2","Bernie","20160708",6,23.39143562,21.49154282,-0.221096068,42.66971588,48.66806412,1.320644879,1.167175889,149.7363281,91.52480316,101.2751694,0.937217727,2011.842651,2000.084351,6.902694157,0.128380659,1874.51451
"Barrow","Zeeps","PEFR5","1815","2","Bernie","20160708",6,23.38583565,21.45021629,-0.294898717,42.745121,48.61147308,1.31886807,1.162782884,99.69429016,87.22758484,101.2736511,0.955871605,2008.269287,2000.159424,3.929665316,0.125899499,1911.895599
"Barrow","Zeeps","PEFR5","1815","2","Bernie","20160708",6,23.38792992,21.43510246,-0.331210871,42.76325989,48.58110428,1.318490413,1.16110824,76.24019623,86.41868591,101.2742081,0.967101793,2006.490356,2000.484253,2.200144336,0.12500781,1934.671908
"Barrow","Zeeps","PEFR5","1815","2","Bernie","20160708",6,23.37753105,21.40239525,-0.367072746,42.78600693,48.51821899,1.317621009,1.158671139,49.95543289,85.62747955,101.2732697,0.975702549,2004.487793,2000.111938,0.886128369,0.123273054,1951.514316
"Barrow","Zeeps","PEFR5","1815","2","Bernie","20160708",6,23.39492989,21.31009102,-0.395327346,42.62520218,48.24902344,1.317742362,1.150542904,20.77270699,83.13885498,101.273941,0.988761515,2002.144897,2000.143188,-1.041310725,0.121877648,1977.664609
"Barrow","Zeeps","PEFR5","1816","1","Bernie","20160708",6,16.80912018,18.91606712,1.814053589,70.68696594,79.98549652,0.516796326,0.657005815,1500.292847,11.17325878,101.2369919,0.705341403,409.8225403,390.0289001,15.89860009,0.245116871,275.1035314
"Barrow","Zeeps","PEFR5","1816","1","Bernie","20160708",6,16.7708416,18.58690453,1.415902146,70.61472321,79.42935181,0.507554828,0.626709561,1249.703369,11.08927917,101.2339478,0.712708238,409.0950012,389.9692078,15.37429964,0.24286148,277.934267
"Barrow","Zeeps","PEFR5","1816","1","Bernie","20160708",6,16.65385056,18.19210052,1.02946108,70.7478714,78.97137451,0.495021938,0.594150836,999.8286133,10.59525967,101.2297821,0.719626362,408.3155823,390.0849304,14.67053187,0.236809329,280.7153995
"Barrow","Zeeps","PEFR5","1816","1","Bernie","20160708",6,16.60987473,17.95770264,0.601863771,70.84303284,78.80570221,0.484865011,0.570828864,751.0410156,10.62876034,101.2273788,0.746443634,407.6813354,391.0698547,13.33733416,0.238105551,291.9116036
"Barrow","Zeeps","PEFR5","1816","1","Bernie","20160708",6,17.13259125,17.81700516,0.207565207,68.37733459,76.05026245,0.512535004,0.556245814,499.9173584,10.88687611,101.2257309,0.789046891,404.0840759,389.9926453,11.24274083,0.243875813,307.7224841
"Barrow","Zeeps","PEFR5","1816","1","Bernie","20160708",6,17.54719925,17.80061913,-0.217912317,66.29489136,73.77742004,0.544021437,0.560288168,249.4848175,11.14263535,101.2242508,0.881534079,397.5872192,389.728241,6.053166338,0.242234811,343.5587258
"Barrow","Zeeps","PEFR5","1816","1","Bernie","20160708",6,17.64225769,17.82147217,-0.308765702,65.8062439,73.30445099,0.552093257,0.563621901,199.8796387,10.90853405,101.223526,0.909256516,397.1542664,391.0999451,4.544469181,0.242771489,355.6101733
"Barrow","Zeeps","PEFR5","1816","1","Bernie","20160708",6,17.77601242,17.89591789,-0.399561098,65.24385071,72.72660828,0.564725419,0.57247692,150.7414856,10.9430685,101.2253418,0.949058076,394.3895569,391.0228882,2.304095336,0.240357715,371.1034301
"Barrow","Zeeps","PEFR5","1816","1","Bernie","20160708",6,17.84121132,17.94851685,-0.487217923,65.02513885,72.369133,0.573559735,0.580518074,99.05473328,11.2232523,101.225708,0.983432511,391.0193176,389.9584351,0.393106023,0.233079355,383.4978031
"Barrow","Zeeps","PEFR5","1816","1","Bernie","20160708",6,17.83376694,17.91782188,-0.523873489,64.93497467,72.22207642,0.574801404,0.580244553,75.46638489,11.19887161,101.2235031,1.002091366,390.7319336,390.8651123,-0.598226803,0.231093693,391.6825544
"Barrow","Zeeps","PEFR5","1816","1","Bernie","20160708",6,17.84807777,17.91087151,-0.570601772,64.756073,72.06459045,0.577173901,0.581239869,50.93756866,11.34133625,101.2228394,1.028499095,388.9475708,390.7658386,-2.002886066,0.231610994,401.9023115
"Barrow","Zeeps","PEFR5","1816","1","Bernie","20160708",6,17.84914398,17.88670158,-0.620720608,64.67796326,71.93045044,0.578332752,0.580762254,20.4550724,11.11513138,101.2250748,1.059974284,387.0803223,390.8816223,-3.650424092,0.229922402,414.3244676
"Barrow","Zeeps","PEFR5","1816","1","Bernie","20160708",6,17.95488739,17.85068512,-0.646134205,64.09810638,71.35128021,0.584953465,0.578213109,0.125766993,11.51088238,101.2233963,1.079956655,385.5878296,390.7108154,-4.754352675,0.232736883,421.9507452
"Barrow","Zeeps","PEFR5","1817","1","Bernie","20160708",6,15.24452114,17.64537811,2.851030899,67.02547455,75.89613342,0.557752629,0.706082775,2000.765869,85.75415039,101.2100525,0.720548561,404.9294739,389.8876648,12.02412874,0.193581671,280.9329957
"Barrow","Zeeps","PEFR5","1817","1","Bernie","20160708",6,15.54588413,17.20661545,2.024006802,65.9305954,74.14473724,0.554838236,0.655994689,1499.766235,87.5616684,101.2090607,0.744047805,403.975769,389.9731445,11.18570992,0.196959361,290.1586621
"Barrow","Zeeps","PEFR5","1817","1","Bernie","20160708",6,16.01675797,17.22231865,1.603202281,63.9764595,71.93027496,0.584250943,0.658211386,1249.855103,89.04350281,101.2092819,0.751604077,403.5151672,389.9995117,10.78201653,0.195827905,293.1252232
"Barrow","Zeeps","PEFR5","1817","1","Bernie","20160708",6,16.25193977,17.23965645,1.168266236,63.38900757,71.01948547,0.596562383,0.657399986,999.8953247,89.59606171,101.2089767,0.763237064,402.3839111,389.8309631,9.993554385,0.19062874,297.5334396
"Barrow","Zeeps","PEFR5","1817","1","Bernie","20160708",6,16.60609245,17.21754837,0.751899449,62.00666428,69.30432892,0.619331892,0.657144399,750.7338867,89.39269257,101.206131,0.77582684,401.5262756,389.895874,9.23394624,0.186247662,302.4916838
"Barrow","Zeeps","PEFR5","1817","1","Bernie","20160708",6,16.90704346,17.25680542,0.32569514,61.09006119,68.00615692,0.64002916,0.661784512,500.2680969,88.91059875,101.2060089,0.806507241,399.3250122,389.7037964,7.577119092,0.178186013,314.2989335
"Barrow","Zeeps","PEFR5","1817","1","Bernie","20160708",6,17.19689369,17.20064926,-0.086097102,59.93476868,66.44033813,0.6610098,0.661243791,249.5781097,87.38713074,101.2053833,0.889401977,394.8714905,389.6016235,3.972120992,0.17041372,346.512454
"Barrow","Zeeps","PEFR5","1817","1","Bernie","20160708",6,17.29426956,17.21308136,-0.171570417,59.51358414,65.99092102,0.668682342,0.663614433,199.8804321,87.1689682,101.2043686,0.917027184,394.7827759,390.8238525,2.878450874,0.170091414,358.3960967
"Barrow","Zeeps","PEFR5","1817","1","Bernie","20160708",6,17.36710358,17.23615837,-0.25495682,59.27251434,65.66673279,0.675103334,0.666913374,150.6086731,86.34286499,101.2041321,0.959630312,392.9642944,391.0625305,1.168701561,0.16771132,375.275458
"Barrow","Zeeps","PEFR5","1817","1","Bernie","20160708",6,17.47260475,17.26295853,-0.336825496,58.87559891,65.13898468,0.685243202,0.672097025,98.59661102,85.74465179,101.2039108,1.009134715,390.6333313,391.0543213,-0.75961363,0.163898825,394.6264909
"Barrow","Zeeps","PEFR5","1817","1","Bernie","20160708",6,17.49716187,17.26474571,-0.374558746,58.74715805,64.95183563,0.688631125,0.674051073,75.10751343,85.16773224,101.2037888,1.028299075,389.2817993,390.570343,-1.47822655,0.162031103,401.6231223
"Barrow","Zeeps","PEFR5","1817","1","Bernie","20160708",6,17.50575256,17.2574482,-0.420246511,58.62504196,64.82574463,0.690537073,0.674963183,50.17776108,84.81324768,101.2036362,1.052501752,388.2733765,390.6610107,-2.393486696,0.161785722,411.1713981
"Barrow","Zeeps","PEFR5","1817","1","Bernie","20160708",6,17.51155472,17.22340775,-0.46746226,58.52702713,64.65764618,0.691659938,0.673611199,19.75199127,84.01360321,101.2026215,1.088681731,386.7258606,390.7230835,-3.729096233,0.160244077,425.3730828
"Barrow","Zeeps","PEFR5","1817","1","Bernie","20160708",6,17.60935974,17.2150631,-0.49011683,58.08203506,64.17485046,0.699010544,0.67428789,0.937234104,80.49217224,101.2021408,1.117235068,385.2267456,390.502594,-4.79413806,0.160095263,436.2831923
"Barrow","zeeps","ERAN6","1819","1","Derek","20160709",1.95,14.53100967,14.9427557,2.015579765,68.77405548,73.00162506,0.470492273,0.49296638,2000.633179,65.34233856,100.6508636,0.755575011,398.6580505,390.0922546,14.87649446,0.269763744,294.7439596
"Barrow","zeeps","ERAN6","1819","1","Derek","20160709",1.95,15.00784779,14.79117393,1.512538815,66.90664673,70.36467743,0.495524986,0.483694738,1499.760742,65.66919708,100.649826,0.724277694,398.3772888,390.0802917,14.46721466,0.229965357,282.5264542
"Barrow","zeeps","ERAN6","1819","1","Derek","20160709",1.95,15.62566662,14.83419704,1.252354139,64.71337891,67.9943161,0.525530774,0.481857351,1249.111816,65.57299805,100.6487274,0.732284403,398.0229797,390.0411682,13.9064448,0.227771397,285.6210639
"Barrow","zeeps","ERAN6","1819","1","Derek","20160709",1.95,16.08424759,14.79151058,0.994619466,63.43818283,66.52441406,0.539795394,0.468125902,999.696106,66.16391754,100.6494293,0.739160895,397.6118469,389.861969,13.50527927,0.227116619,288.1707221
"Barrow","zeeps","ERAN6","1819","1","Derek","20160709",1.95,16.74257469,14.80197525,0.721818383,61.47833252,64.56260681,0.563205807,0.454559809,749.2925415,66.77926636,100.6462479,0.783931354,396.896698,390.0012207,11.95396792,0.244617888,305.7341849
"Barrow","zeeps","ERAN6","1819","1","Derek","20160709",1.95,17.17303276,14.81683254,0.44859239,60.24111176,63.21959305,0.581219844,0.448413069,499.4531555,67.76109314,100.6454926,0.821928034,395.7480164,390.030365,9.843180324,0.246148504,320.5768909
"Barrow","zeeps","ERAN6","1819","1","Derek","20160709",1.95,17.36236954,14.89446545,0.134318236,59.83976364,62.89451218,0.588326167,0.448391425,249.69487,67.09922791,100.6461563,0.904515055,393.1197815,389.9372253,5.280708959,0.256028603,352.7040907
"Barrow","zeeps","ERAN6","1819","1","Derek","20160709",1.95,17.43130493,14.84303093,0.099461204,59.67655945,62.58335495,0.590109514,0.443523347,200.276825,66.81526947,100.6435318,0.923267073,392.5213623,390.0502014,4.022585275,0.24685972,360.1205077
"Barrow","zeeps","ERAN6","1819","1","Derek","20160709",1.95,17.84335899,14.81753635,0.077330153,58.64574432,61.43206787,0.603620231,0.431430411,148.8621826,64.66980743,100.6401367,0.944615057,391.7019653,389.8986511,2.831723673,0.249834288,368.3041365
"Barrow","zeeps","ERAN6","1819","1","Derek","20160709",1.95,17.77392387,14.83437634,0.011013391,59.04912186,61.82249069,0.59802583,0.430792582,98.52222443,63.85100174,100.6396484,0.970476612,391.4522095,390.4967651,1.314189869,0.247835286,378.9679776
"Barrow","zeeps","ERAN6","1819","1","Derek","20160709",1.95,17.80330658,14.80015945,0.000408475,59.01784134,61.68005753,0.598314565,0.427637329,75.17809296,63.27429962,100.6385727,0.991903055,390.6792603,390.4255066,0.071367543,0.239835087,387.2642526
"Barrow","zeeps","ERAN6","1819","1","Derek","20160709",1.95,17.92408562,14.82853317,-0.006899392,58.54852676,61.05971527,0.610329367,0.433887287,49.6226387,61.78485489,100.635582,1.00729107,389.8773804,390.091156,-0.747929644,0.223885339,392.935338
"Barrow","zeeps","ERAN6","1819","1","Derek","20160709",1.95,18.32122612,14.81602669,-0.016058356,56.74623489,59.25492859,0.639686392,0.438866929,21.20880127,60.25466919,100.631897,1.03072269,389.3503723,390.263031,-2.010267612,0.226816138,402.2529611
"Barrow","zeeps","ERAN6","1819","1","Derek","20160709",1.95,18.39586067,14.77150536,-0.00715307,56.95646667,59.26659775,0.635375318,0.427896179,0.870994568,59.0295372,100.6306686,1.042564742,388.8159485,390.0145569,-2.495396876,0.214735924,406.6154259
"Barrow","zeeps","ERAN6","1820","1","Andy","20160709",1.86,15.58573627,15.19577312,2.141064049,62.58176422,65.65400696,0.588241792,0.566404063,1999.804321,100.9516296,100.6392746,0.66938497,398.050293,390.2216187,14.33929834,0.188308875,261.2084867
"Barrow","zeeps","ERAN6","1820","1","Andy","20160709",1.86,15.62717533,14.83854008,1.579012593,62.35213089,65.23639679,0.57487823,0.531352267,1500.169678,100.7140503,100.63871,0.673045996,397.7661133,390.0027771,14.23991572,0.189007547,262.4898075
"Barrow","zeeps","ERAN6","1820","1","Andy","20160709",1.86,16.44825363,14.85609055,1.30274183,58.99294662,62.00840759,0.620286428,0.531316805,1250.667725,99.37427521,100.6346283,0.707407356,397.7841797,390.1225281,14.01003274,0.209124393,275.975546
"Barrow","zeeps","ERAN6","1820","1","Andy","20160709",1.86,16.7496376,14.80390644,1.026939925,57.91916656,60.85005951,0.634224339,0.525271221,1000.753296,99.50450897,100.6330261,0.72288513,397.1403198,389.8729553,13.27372091,0.209637578,281.8333621
