"Site","Sample_Date","Spectra_Name","BNL_Barcode","Sample_Barcode","USDA_Species_Code","Instrument","Foreoptic","Collection_Units","Spectra_Units","Spectra_Type","Reflectance_Type","White_Reference_Standard","Spectral_Resolution","Interpolation_Method","Overlap_Handling","Overlap_Removal","Overlap_Matching_Type","N.mu","N.q25","N.q975","Cab.mu","Cab.q25","Cab.q975","Car.mu","Car.q25","Car.q975","Cw.mu","Cw.q25","Cw.q975","Cm.mu","Cm.q25","Cm.q975"
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1835","BNL1835","1835","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",2.02385381990474,2.01862345610057,2.03851796665446,48.261865210686,47.9664767530587,49.1241469705681,26.6512086272822,25.8298056225868,29.0085376836268,0.0160824637644108,0.0160363408626665,0.0162248368030011,0.00560713742993185,0.00549263251231816,0.00594668665179562
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1836","BNL1836","1836","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.46125929517969,1.45874730214678,1.4681047243983,33.7831456526658,33.5878279686421,34.337609031588,9.14768490243702,8.92233311249561,9.79798124242244,0.0135322537444298,0.0134921313078463,0.0136492903912272,0.0033285597738556,0.0032441385016625,0.0035803620828455
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1837","BNL1837","1837","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.9440906680825,1.93827049257125,1.96141048812493,48.5364734986714,48.2221223374838,49.5266322555089,32.0706120145364,31.0130586071505,35.2458591672305,0.0193481611536481,0.0192870751109182,0.019526457664035,0.00567794647018935,0.00553318068013104,0.00610272052071828
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1838","BNL1838","1838","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.9475796164669,1.94204728913493,1.96245153188361,37.5665939040958,37.3507893822562,38.2168414114972,16.7965363003279,16.4291564336611,17.8913116425731,0.0197674891608814,0.019708578462603,0.0199295451182566,0.00523992924187006,0.00510081592909279,0.00562484546656463
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1839","BNL1839","1839","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",2.19743928877121,2.19111660757933,2.21597843894114,64.7498862071393,64.3416797394591,65.95825191338,29.8154488987409,28.7880353146241,32.6530930895397,0.018744831314186,0.0186902125628885,0.0189001054091901,0.00773004187512964,0.00759154165819854,0.00812877671896414
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1840","BNL1840","1840","ERAN6","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.80054137465502,1.79636648144521,1.81354744600404,59.7129855917741,59.273895433931,60.9788859352594,19.4228773339943,18.6811407465025,21.5316307199391,0.014530811927315,0.0144819585709733,0.0146792809703334,0.004766755876023,0.00466575544430289,0.00510882891563043
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1841","BNL1841","1841","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.50465083527981,1.50247678558506,1.51145984372223,36.6294371581497,36.4304484126857,37.2246252586402,8.71780510788395,8.52257882481145,9.3317520829125,0.0117471145240354,0.011712355774401,0.0118508843314836,0.00336003017171568,0.0032948324579853,0.00356249367083677
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1842","BNL1842","1842","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.28688736685628,1.28491889838718,1.29228150380009,36.4536317516239,36.2591005463709,37.0205938961748,10.4460295241531,10.2008924803786,11.1949492618001,0.0129836985611805,0.0129459043254474,0.0130887259344101,0.00403158800222896,0.00395444808062191,0.00425613525544059
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1847","BNL1847","1847","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.27482574635132,1.27231527093448,1.28247241975061,32.1150856465073,31.8648576738338,32.8542765444176,5.32577084625826,5.13659922694444,5.88256489035101,0.0116518107369972,0.0116029320558073,0.0117807216499591,0.00299111650422572,0.00290080600673607,0.00328090538649065
"Barrow (Utqia_vik) Environmental Observatory","20160710","BNL1850","BNL1850","1850","ARLA2","SVC_HR-1024i","Fiber_1_LC_RP_Pro","Radiance","Percent_Reflectance_0_100","Leaf","Absolute","99AA10-0614-0827 SRS-99-020","1nm","Linear","Removed","Post_processing","Radiance",1.27907564685434,1.27736481214479,1.28434183479841,30.740427305039,30.5882363712868,31.1866883560825,7.72815774884833,7.5625363790085,8.20147984466788,0.0117407311862151,0.0117061274956296,0.0118361235779911,0.00329240888252075,0.00322122094142997,0.00348535240045508
