"USDA_Species_Code","Sample_ID","Machine_name","Sample_Date","Cond"
"ERAN6","1838","Mariano","20160710",0.031445788
"ERAN6","1838","Mariano","20160710",-0.214921932
"ERAN6","1838","Mariano","20160710",-0.250994481
"ERAN6","1838","Mariano","20160710",-0.097631403
"ERAN6","1838","Mariano","20160710",0.012914261
"ARLA2","1960","Flash","20160713",0.0442437
"CAAQ","2021","Bernie","20160716",0.002297402
"CAAQ","2021","Bernie","20160716",0.023821029
