"USDA_Species_Code","Sample_ID","Machine_name","Sample_Date","Leaf_Area","Mean_Tair","Mean_Tleaf","Tleaf.CV","Mean_deltaT","Mean_RH_R","Mean_RH_S","Mean_VpdA","Mean_VpdL","Mean_PARo","Mean_Ci_Ca","Ci_Ca.CV","Mean_CO2R","Mean_CO2S","CO2S.CV","Mean_Cond","Cond.CV","Mean_Ci","mean_Ci_init_slope","Amb.Photo","aQY","Amax.g","Convex","Anet.1500","Anet.1800","Anet.2000","Rd","LCP","LUE.max","ILUE.max","RMSE.DEoptim","RMSE.photo"
"SAPU15","1984","Mariano","20160714",3.855,14.37401123,14.9865153626667,1.38607262673324,-0.597946005666667,28.0243679046667,50.424230194,0.851335542533333,0.884328102333333,188.130944813333,0.892653153933333,9.76620103412046,401.683577493333,390.003763853333,0.0804998368104079,0.416621438733333,8.80711506494011,348.14423172,385.2940382,22.35587851,0.0411930124205266,28.8481356657866,0.651251474406944,21.6033844299442,22.4920587142582,22.9363959544592,2.09998620797696,50.9,0.0274740408372115,300,0.408907456667065,0.408907456667065
"SAPU15","2057","Flash","20160717",4.379,6.4221691915,4.77497124657143,5.13516046477819,0.817510460214286,58.1262089864286,64.5234320521429,0.293672220571429,0.241804646214286,54.4475936885714,0.9295861585,5.36070216899794,394.437805178571,389.875946028571,0.128754284928088,0.217162379285714,14.8781350670402,362.414835207143,385.7887153,6.153740161,0.0195979316195602,6.66842983222686,0.980300903053919,6.00071314195956,6.00844168383858,6.012058684679,0.629677769067763,31.9,0.0162099266351078,252,0.390211985665288,0.390211985665288
"SAPU15","2058","Mariano","20160717",4.584,5.59863082573333,4.88946984606667,1.60471995128235,0.610019828666667,51.89451243,63.1912966413333,0.3151890828,0.2932053608,76.9496994013333,0.942483565666667,4.31853145223015,395.456404626667,390.11696982,0.0687257290378244,0.289548791666667,13.9668798397037,367.681277326667,386.230081133333,7.7512850175,0.0255843646173188,9.44773881211061,0.556166126004115,7.48801090169077,7.66222376479214,7.74958116761658,0.914345516427484,35.6,0.0149906856606767,178,0.162881489236946,0.162881489236946
"SAPU15","2059","Flash","20160717",4.199,4.6776890438,4.837042872,3.25223172096679,0.649510296266667,71.052527872,77.423918152,0.201954069,0.206144789933333,125.992616276,0.917234109733333,8.0377941252923,395.184757473333,390.033520506667,0.0564948441978582,0.241873901,47.8203360776015,357.753984526667,383.273949133333,7.654842723,0.0387765531173361,9.25569929205196,0.586303568844576,7.40211829388495,7.50726897138536,7.55969497643949,1.23107687440144,31.7,0.0204180611775416,139,0.261687668392292,0.261687668392292
"SAPU15","2060","Mariano","20160717",3.887,5.34712020553333,4.90409921026667,2.16379183464827,0.499509806333333,57.9582517,68.9565872193333,0.266039901733333,0.252239913066667,93.6349268626667,0.964899397,2.73631302660084,393.69531862,390.17477214,0.0689160284342765,0.386351537133333,6.48471474281481,376.48241376,387.732003433333,5.6660566755,0.025596843529592,7.44575747920174,0.43645185014412,5.6285285579141,5.75539373084534,5.81956002137639,1.02996514541842,40.1,0.0121915433452998,171,0.178154661165913,0.178154661165913
"SAPU15","2067","Flash","20160717",3.756,7.60499903135714,4.80572683478571,1.61482558097474,0.558121029857143,39.107583455,47.9211221421429,0.4523527535,0.363613236928571,110.587292265,0.933105257285714,4.66368458573538,394.309419907143,390.005876821429,0.081283205814418,0.250233587928571,8.5994602987887,363.915320957143,383.851344433333,7.240335313,0.0298677927090961,8.73548733204017,0.612946624277008,7.14869767890259,7.26513782235893,7.32306331055584,0.903839487509409,30.1,0.0176007381159673,148,0.256569725982975,0.256569725982975
"SAPU15","2068","Mariano","20160717",4.534,4.51180777546667,4.87245273593333,2.82860112858144,0.675918576733333,70.081707256,76.2186101273333,0.212518658133333,0.223281777933333,112.22381083,0.905111540733333,7.01342149296737,395.844614666667,390.284053546667,0.0456951037626673,0.1881392636,12.489527858584,353.251404673333,382.903036433333,8.022305512,0.0316941729283273,9.13170335067926,0.549629608662476,7.50171917218632,7.63492676214552,7.70161032081263,0.832176353796969,26.1,0.0188914141977478,134,0.29954964687313,0.29954964687313
"SAPU15","2069","Flash","20160717",3.737,8.33022667553333,4.85960117993333,2.60869843277517,0.790292425533333,38.0318232226667,45.925924938,0.476217148,0.364453245266667,100.993416844667,0.9072701296,6.30868409153909,395.656553146667,390.065887446667,0.10264337051501,0.234785957333333,8.78306465408011,353.90304056,380.3337251,8.861142007,0.0245960154282659,9.09652917386091,0.887392403308569,8.58276164680889,8.64327692059298,8.67203807326483,0.204414595627109,8.20000000000002,0.0217179980224358,126,0.336688475666598,0.336688475666598
"SAPU15","2070","Mariano","20160717",3.945,4.53386581733333,4.95158176426667,2.77838448140125,0.462366312,50.201402792,60.8712832133333,0.345189954333333,0.357608135133333,90.2460576353333,0.946133144266667,5.52868788619117,393.5274231,389.848858646667,0.123502739397428,0.237885094866667,13.2987440211191,368.857212253333,393.8815167,6.9043521475,0.0219181551087319,8.12532051526954,0.921654416316454,6.16805440955158,6.20746729496327,6.2260516768237,1.75989731466465,80.1,0.0128059589813918,297,0.510199668205953,0.510199668205953
"SAPU15","2103","Mariano","20160718",4.107,4.88042620242857,4.92646384235714,2.20217280709827,0.142795071928571,53.7003805971429,68.8194514685714,0.273903667357143,0.274960226642857,102.389469145714,0.958357683214286,3.76218279215818,395.190475464286,390.012122021429,0.0501273139464872,0.5313398095,7.53052212095105,373.770579892857,389.024726033333,11.3740104,0.0280759193094197,14.9901837315099,0.59019957022401,11.1640122192797,11.5426421446565,11.7328058779,1.56607374434176,55.7,0.0162920922582927,271,0.338100265209161,0.338100265209161
"SAPU15","2104","Flash","20160718",4.164,6.90559995175,4.940687269125,2.82972961510631,0.678981829875,48.134362936875,60.402036190625,0.3346696295,0.2724365173125,97.37640141875,0.9435176085,3.62509986846105,396.68204880625,389.84089660625,0.126799851696926,0.4920850468125,26.7988425086281,367.82700586875,384.020045333333,11.7708922133333,0.0431754286794913,14.4725991388478,0.260417844020761,11.1870263644551,11.5111187921112,11.677953798116,1.14167368878448,26.4,0.0241654644389871,135,0.414953233385565,0.414953233385565
